Data ksiêgowania;Data efektywna;Nazwa transakcji i opis;Kwota;Waluta;Saldo po operacji
18-04-2019;16-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9669; Kwota w walucie rozliczeniowej: .74 USD 40.00 MKD z dnia:2019-04-16 Kod MCC 4784  MKD,SKOPJE JPDP  ";-0.77;"EUR";225.93
18-04-2019;16-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9669; Kwota w walucie rozliczeniowej: .74 USD 40.00 MKD z dnia:2019-04-16 Kod MCC 4784  MKD,SKOPJE JPDP  ";-0.77;"EUR";226.70
18-04-2019;16-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9669; Kwota w walucie rozliczeniowej: .74 USD 40.00 MKD z dnia:2019-04-16 Kod MCC 4784  MKD,SKOPJE JPDP  ";-0.77;"EUR";227.47
18-04-2019;16-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9669; Kwota w walucie rozliczeniowej: 1.1 USD 60.00 MKD z dnia:2019-04-16 Kod MCC 4784  MKD,SKOPJE JPDP  ";-1.14;"EUR";228.24
18-04-2019;16-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9669; Kwota w walucie rozliczeniowej: 21.82 USD 1187.00 MKD z dnia:2019-04-16 Kod MCC 5541  MKD,KICHEVO B.S. 057 KICEVO 2  ";-22.57;"EUR";229.38
18-04-2019;15-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9669; Kwota w walucie rozliczeniowej: 11.12 USD 1160.00 RSD z dnia:2019-04-15 Kod MCC 5814  SRB,STARA PAZOVA NICEFOODS HIGHWA  ";-11.50;"EUR";251.95
18-04-2019;16-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9669; Kwota w walucie rozliczeniowej: 66.17 USD 6901.34 RSD z dnia:2019-04-16 Kod MCC 5541  SRB,PREDEJANE 555 PREDEJANE  ";-68.43;"EUR";263.45
18-04-2019;15-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie 17.80 EUR z dnia:2019-04-15 Kod MCC 4784  HUN,RAJKA FIBADO RAJKA IRODA  ";-17.80;"EUR";331.88
17-04-2019;15-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9722; Kwota w walucie rozliczeniowej: 5.38 USD 560.00 RSD z dnia:2019-04-15 Kod MCC 4784  SRB,STARA PAZOVA NS STARA PAZOVA  ";-5.53;"EUR";349.68
17-04-2019;15-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9722; Kwota w walucie rozliczeniowej: 62.44 USD 6500.77 RSD z dnia:2019-04-15 Kod MCC 5541  SRB,RUMENKA MOL SERBIA 90114 RUMEN  ";-64.23;"EUR";355.21
17-04-2019;15-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9722; Kwota w walucie rozliczeniowej: 46.9 USD 13270.00 HUF z dnia:2019-04-15 Kod MCC 5541  HUN,Gyor OMV 1988/  ";-48.24;"EUR";419.44
15-04-2019;15-04-2019;"Rozliczenie transakcji Kantor Walutowy 225";466.00;"EUR";467.68
